# Plant and Flower Positions
@ L1 START
D109,-87,0,0,0,0
D59,-265,0,0,0,0
D65,-691,0,0,0,0
D90,-1446,0,0,0,0
D-115,-1865,0,0,0,0
D-125,-973,0,0,0,0
D1261,1091,0,0,0,0
D-67,-5089,-19,0,0,0
P43,1549,0,32,0,0
P-70,-754,0,90,0,0
P1457,1090,0,9,0,0
P1365,1190,1,0,0,0
L1610,1145,2,0,0,0
R1015,1099,8,45,0,0
R1015,1099,8,180,0,0
R1015,1099,8,90,0,0
L837,382,13,0,0,0
D397,1335,123,0,0,0
D179,831,33,0,0,0
@ L1 END
@ L2 START
D1639,1077,1000,45,0,0
D1599,1077,1000,60,0,0
D1559,1077,1000,90,0,0
D1365,1330,1000,45,0,0
D1365,1290,1000,60,0,0
D1365,1250,1000,90,0,0
L1581,1295,1000,0,0,0
D1407,843,1325,0,0,0
D1487,737,1325,0,0,0
D1461,998,1325,0,0,0
P1260,904,1325,0,0,0
D-231,1775,1432,0,0,0
D-161,1656,1432,0,0,0
P-189,1549,1432,0,0,0
L8,1802,1432,0,0,0
@ L2 END
